Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 87.33 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 36.07 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 51.01 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 140.25 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 112.3 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 0.31 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 256.26 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 0.32 sec
Player: Mary Mwiswa, Function: draw_tiles, Time taken: 0.0 sec
Player: Mary Mwiswa, Function: draw_tiles, Time taken: 0.0 sec
Player: Mary Mwiswa, Function: draw_tiles, Time taken: 0.0 sec
Player: Mary Mwiswa, Function: play_turn, Time taken: 10.8 sec
Player: Mary Mwiswa, Function: draw_tiles, Time taken: 0.0 sec
Player: Mary Mwiswa, Function: play_turn, Time taken: 0.32 sec
Player: Mary Mwiswa, Function: draw_tiles, Time taken: 0.0 sec
Player: Mary Mwiswa, Function: play_turn, Time taken: 86.1 sec
Player: Mary Mwiswa, Function: draw_tiles, Time taken: 0.0 sec
Player: Mary Mwiswa, Function: play_turn, Time taken: 0.36 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 39.22 sec
Player: Paul Kamau, Function: play_turn, Time taken: 0.26 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 56.42 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 103.84 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 0.6 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 66.33 sec
Player: Paul Kamau, Function: draw_tiles, Time taken: 0.0 sec
Player: Paul Kamau, Function: play_turn, Time taken: 0.37 sec
